Soil,Rainfall,Temperature,Season,CropSuccess
Sandy,Medium,Hot,Autumn,No
Silty,High,Cool,Spring,No
Loamy,Medium,Cool,Autumn,No
Loamy,High,Warm,Winter,Yes
Silty,Medium,Cool,Spring,Yes
Peaty,High,Warm,Summer,No
Sandy,Low,Warm,Summer,No
Clay,Medium,Cool,Winter,Yes
Sandy,Medium,Warm,Autumn,No
Sandy,High,Cool,Winter,No
Peaty,Medium,Warm,Monsoon,Yes
Sandy,Medium,Hot,Summer,Yes
Silty,Low,Cool,Winter,Yes
Silty,High,Cool,Summer,No
Silty,Medium,Warm,Spring,Yes
Silty,High,Warm,Spring,No
Silty,Low,Hot,Summer,Yes
Sandy,Low,Cool,Winter,Yes
Loamy,Low,Cool,Autumn,Yes
Sandy,Low,Cool,Monsoon,No
Loamy,High,Warm,Winter,Yes
Silty,High,Warm,Autumn,Yes
Clay,Low,Cool,Winter,No
Peaty,Medium,Warm,Spring,No
Silty,Medium,Hot,Summer,No
Silty,Medium,Warm,Spring,Yes
Loamy,Low,Cool,Monsoon,No
Peaty,High,Warm,Spring,No
Sandy,Low,Cool,Summer,No
Sandy,High,Cool,Monsoon,No
Clay,Low,Cool,Winter,Yes
Clay,Low,Hot,Winter,No
Peaty,Medium,Warm,Summer,Yes
Peaty,High,Hot,Autumn,No
Sandy,Medium,Cool,Monsoon,No
Silty,High,Hot,Monsoon,No
Peaty,Low,Hot,Monsoon,No
Clay,Medium,Cool,Autumn,Yes
Silty,Low,Warm,Monsoon,No
Clay,Low,Cool,Spring,Yes
Silty,High,Warm,Winter,No
Loamy,High,Hot,Summer,Yes
Loamy,High,Warm,Winter,Yes
Clay,Low,Hot,Autumn,Yes
Sandy,High,Cool,Summer,No
Silty,Medium,Warm,Spring,No
Peaty,Low,Warm,Spring,No
Clay,High,Warm,Spring,No
Sandy,High,Hot,Summer,Yes
Sandy,Low,Warm,Monsoon,Yes
Sandy,Medium,Cool,Spring,No
Clay,Low,Hot,Summer,No
Clay,High,Warm,Autumn,No
Loamy,Medium,Cool,Autumn,No
Sandy,Medium,Cool,Autumn,No
Clay,Low,Cool,Winter,No
Sandy,High,Warm,Winter,No
Clay,Medium,Cool,Spring,Yes
Clay,Low,Warm,Monsoon,No
Peaty,High,Cool,Monsoon,Yes
Silty,Medium,Hot,Autumn,Yes
Sandy,Medium,Hot,Autumn,Yes
Peaty,Low,Cool,Autumn,No
Peaty,Medium,Cool,Winter,No
Clay,High,Warm,Autumn,Yes
Peaty,Medium,Hot,Autumn,Yes
Loamy,High,Cool,Winter,No
Silty,High,Cool,Spring,No
Clay,Low,Hot,Monsoon,Yes
Loamy,High,Warm,Autumn,No
Clay,High,Warm,Winter,No
Sandy,Medium,Hot,Autumn,Yes
Silty,Low,Cool,Spring,No
Sandy,Low,Warm,Autumn,No
Clay,Low,Hot,Monsoon,No
Sandy,Low,Warm,Summer,No
Peaty,High,Cool,Spring,Yes
Clay,Low,Cool,Monsoon,Yes
Sandy,Medium,Hot,Winter,No
Peaty,Medium,Cool,Summer,Yes
Peaty,Low,Warm,Summer,No
Sandy,Low,Cool,Winter,Yes
Peaty,Low,Cool,Autumn,No
Clay,High,Warm,Autumn,Yes
Loamy,High,Warm,Spring,Yes
Clay,Low,Hot,Winter,Yes
Loamy,Medium,Hot,Summer,Yes
Loamy,High,Hot,Spring,No
Loamy,High,Warm,Winter,Yes
Silty,High,Cool,Monsoon,Yes
Clay,High,Cool,Spring,No
Sandy,Low,Cool,Spring,No
Peaty,High,Warm,Autumn,No
Clay,High,Hot,Winter,Yes
Silty,Low,Warm,Winter,Yes
Sandy,High,Hot,Monsoon,No
Sandy,High,Cool,Summer,Yes
Peaty,High,Cool,Monsoon,Yes
Silty,Low,Warm,Winter,Yes
Sandy,Medium,Warm,Winter,Yes
Clay,High,Warm,Winter,No
Clay,High,Cool,Winter,Yes
Peaty,High,Hot,Summer,No
Peaty,Low,Cool,Winter,No
Sandy,Low,Warm,Spring,No
Clay,Low,Warm,Summer,No
Silty,Low,Hot,Spring,No
Sandy,Medium,Warm,Spring,No
Peaty,Low,Cool,Summer,No
Clay,Low,Cool,Autumn,Yes
Peaty,High,Warm,Winter,Yes
Peaty,Low,Hot,Spring,No
Sandy,Medium,Cool,Autumn,No
Peaty,Medium,Warm,Summer,No
Peaty,Low,Hot,Monsoon,Yes
Loamy,Medium,Warm,Winter,No
Peaty,Low,Warm,Autumn,Yes
Silty,High,Warm,Monsoon,No
Silty,Medium,Hot,Winter,No
Clay,Low,Hot,Monsoon,Yes
